,user_id,movie_id,rating,timestamp,age,gender,occupation
0,0,50,5,881250949,,,
1,0,172,5,881250949,,,
2,0,133,1,881250949,,,
3,196,242,3,881250949,49.0,M,writer
4,186,302,3,891717742,39.0,F,executive
5,22,377,1,878887116,25.0,M,writer
6,244,51,2,880606923,28.0,M,technician
7,166,346,1,886397596,47.0,M,educator
8,298,474,4,884182806,44.0,M,executive
9,115,265,2,881171488,31.0,M,engineer
10,253,465,5,891628467,26.0,F,librarian
11,305,451,3,886324817,23.0,M,programmer
12,6,86,3,883603013,42.0,M,executive
13,62,257,2,879372434,27.0,F,administrator
14,286,1014,5,879781125,27.0,M,student
15,200,222,5,876042340,40.0,M,programmer
16,210,40,3,891035994,39.0,M,engineer
17,224,29,3,888104457,31.0,F,educator
18,303,785,3,879485318,19.0,M,student
19,122,387,5,879270459,32.0,F,writer
20,194,274,2,879539794,38.0,M,administrator
21,291,1042,4,874834944,19.0,M,student
22,234,1184,2,892079237,60.0,M,retired
23,119,392,4,886176814,32.0,M,programmer
24,167,486,4,892738452,37.0,M,other
25,299,144,4,877881320,29.0,M,doctor
26,291,118,2,874833878,19.0,M,student
27,308,1,4,887736532,60.0,M,retired
28,95,546,2,879196566,31.0,M,administrator
29,38,95,5,892430094,28.0,F,other
30,102,768,2,883748450,38.0,M,programmer
31,63,277,4,875747401,31.0,M,marketing
32,160,234,5,876861185,27.0,M,programmer
33,50,246,3,877052329,21.0,M,writer
34,301,98,4,882075827,24.0,M,student
35,225,193,4,879539727,51.0,F,administrator
36,290,88,4,880731963,40.0,M,engineer
37,97,194,3,884238860,43.0,M,artist
38,157,274,4,886890835,57.0,M,engineer
39,181,1081,1,878962623,26.0,M,executive
40,278,603,5,891295330,37.0,F,librarian
41,276,796,1,874791932,21.0,M,student
42,7,32,4,891350932,57.0,M,administrator
43,10,16,4,877888877,53.0,M,lawyer
44,284,304,4,885329322,40.0,M,executive
45,201,979,2,884114233,27.0,M,writer
46,276,564,3,874791805,21.0,M,student
47,287,327,5,875333916,21.0,M,salesman
48,246,201,5,884921594,19.0,M,student
49,242,1137,5,879741196,33.0,M,educator
50,249,241,5,879641194,25.0,M,student
51,99,4,5,886519097,20.0,M,student
52,178,332,3,882823437,26.0,M,other
53,251,100,4,886271884,28.0,M,doctor
54,81,432,2,876535131,21.0,M,student
55,260,322,4,890618898,40.0,F,artist
56,25,181,5,885853415,39.0,M,engineer
57,59,196,5,888205088,49.0,M,educator
58,72,679,2,880037164,48.0,F,administrator
59,87,384,4,879877127,47.0,M,administrator
60,290,143,5,880474293,40.0,M,engineer
61,42,423,5,881107687,30.0,M,administrator
62,292,515,4,881103977,35.0,F,programmer
63,115,20,3,881171009,31.0,M,engineer
64,20,288,1,879667584,42.0,F,homemaker
65,201,219,4,884112673,27.0,M,writer
66,13,526,3,882141053,47.0,M,educator
67,246,919,4,884920949,19.0,M,student
68,138,26,5,879024232,46.0,M,doctor
69,167,232,1,892738341,37.0,M,other
70,60,427,5,883326620,50.0,M,healthcare
71,57,304,5,883698581,16.0,M,none
72,223,274,4,891550094,19.0,F,student
73,189,512,4,893277702,32.0,M,artist
74,243,15,3,879987440,33.0,M,educator
75,92,1049,1,890251826,32.0,M,entertainment
76,246,416,3,884923047,19.0,M,student
